"course_title","url","is_paid","price","num_subscribers","num_reviews","num_lectures","level","content_duration","published_timestamp","subject"
"Using 'The Greeks To Understand Options""","options-greeks","True",50,2134,55,5,"All Levels",1,"2016-07-13","Business Finance"
"Trading Options For Consistent Returns: Calendar Spreads","trading-options-for-consistent-returns-calendar-spreads","True",200,1214,69,20,"All Levels",1.5,"2016-10-07","Business Finance"
"How to Create Your Personal Budget","personal-budget","True",20,3870,53,10,"All Levels",1,"2016-03-21","Business Finance"
"The Complete Value Investing Course: A Proven Approach","value-investing-essential-guide-to-picking-stocks","True",200,2146,212,49,"All Levels",4.5,"2015-06-16","Business Finance"
"FOREX Trading with Price Action","forex-trading-system","True",195,484,57,19,"Beginner Level",1,"2017-03-14","Business Finance"
"Emini ES Futures - Advanced Non Directional Options Trading","emini-es-futures-advanced-non-directional-options-trading","True",200,1057,15,14,"All Levels",1.5,"2017-01-11","Business Finance"
"Forex Trading - Advanced Fundamental Analysis","forex-trading-advanced-fundamental-analysis","True",20,1754,100,49,"Intermediate Level",2.5,"2016-06-30","Business Finance"
"How To Invest With Tiny Capital In Stocks ?","howtoinvest5k","True",20,1239,5,6,"Beginner Level",0.7,"2017-05-23","Business Finance"
"Learn How To Successfully Trade Stocks: In 5 Simple Steps","learn-how-to-successfully-trade-stocks-in-5-simple-steps","True",95,2493,276,108,"All Levels",9.5,"2015-01-31","Business Finance"
"Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader","metatrader4","True",150,2602,402,57,"Beginner Level",5,"2015-10-28","Business Finance"
"Intermediate Options trading concepts for Stocks and Options","intermediate-options-trading-concepts-for-stocks-and-options-traders","True",40,2000,30,9,"All Levels",1,"2015-04-13","Business Finance"
"Options Trading 101: The Basics","options-trading-101-the-basics","False",0,1514,66,11,"Beginner Level",0.55,"2017-03-23","Business Finance"
"Practical Accounts APP Overview","practical-accounts-app-overview","True",20,1361,1,14,"Intermediate Level",3,"2016-10-04","Business Finance"
"Bitcoin Profits for Beginners","bitcoin-profits-for-beginners","True",100,61,18,30,"Beginner Level",1.5,"2017-06-09","Business Finance"
"Trend Traders Club: How To Find And Trade Fast Moving Trends","how-to-find-and-trade-profitable-fast-moving-trends","True",75,1513,31,60,"All Levels",5.5,"2015-08-04","Business Finance"
"Financial Statements Basics","financial-statements-basics","True",20,1374,19,9,"Beginner Level",2,"2016-01-14","Business Finance"
"High performance Stock Trading using key Options techniques","high-performance-stock-trading-using-options-trading-techniques","True",40,2103,15,6,"All Levels",1.5,"2015-04-12","Business Finance"
"Introduction to Financial Statement Analysis","introduction-to-financial-statement-analysis","True",20,1480,25,25,"Beginner Level",1.5,"2016-03-21","Business Finance"
"Basics of Economics (College Level)","economics-for-accounting-and-finance-professionals","True",25,2516,12,20,"All Levels",1.5,"2015-01-08","Business Finance"
